GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003,AAD001,AAD002,AAE001,AAE002,AAE003,AAE004,AAF001,AAF002,AAG001,AAG002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010
"G0900010","1790","Connecticut","090","Fairfield","0010","Fairfield",318,799,35173,470,5942,470,0,5899,43,2798,32376,6.0,5.5,73.0,0,92.0,7.0,799,1.7,299,150,20,1,0,0,0,0,0,0
"G0900030","1790","Connecticut","090","Hartford","0030","Hartford",395,256,37498,157,6425,157,0,6372,53,1020,36494,6.5,5.7,24.0,0,968.0,8.0,256,1.6,101,44,10,2,0,0,0,0,0,0
"G0900050","1790","Connecticut","090","Litchfield","0050","Litchfield",313,203,38119,119,6444,119,0,6400,44,776,37392,6.5,5.8,18.0,0,975.0,7.0,203,1.7,70,41,6,2,0,0,0,0,0,0
"G0900070","1790","Connecticut","090","Middlesex","0070","Middlesex",144,192,18492,114,3168,113,1,3145,23,685,17790,6.1,5.7,34.0,0,958.0,7.0,192,1.7,71,38,4,1,0,0,0,0,0,0
"G0900090","1790","Connecticut","090","New Haven","0090","New Haven",434,387,29882,241,5771,241,0,5684,87,1306,28478,5.4,5.0,4.0,0,945.0,14.0,387,1.6,151,73,13,4,0,0,0,0,0,0
"G0900110","1790","Connecticut","090","New London","0110","New London",732,581,31605,329,5357,325,4,5231,126,2173,29397,6.7,5.6,57.0,1.0,920.0,22.0,581,1.8,193,127,9,0,0,0,0,0,0,0
"G0900130","1790","Connecticut","090","Tolland","0130","Tolland",94,46,13111,35,2104,34,1,2104,0,246,12857,7.2,6.1,16.0,0,984.0,0,46,1.3,27,7,1,0,0,0,0,0,0,0
"G0900150","1790","Connecticut","090","Windham","0150","Windham",341,184,28356,98,4102,98,0,4065,37,765,27588,7.8,6.8,23.0,0,968.0,9.0,184,1.9,68,25,3,2,0,0,0,0,0,0
"G1000010","1790","Delaware","100","Kent","0010","Kent",2570,2300,14050,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1000030","1790","Delaware","100","New Castle","0030","New Castle",639,2562,16487,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1000050","1790","Delaware","100","Sussex","0050","Sussex",690,4025,15773,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300330","1790","Georgia","130","Burke","0330","Burke",11,2392,7064,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300390","1790","Georgia","130","Camden","0390","Camden",14,70,221,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300510","1790","Georgia","130","Chatham","0510","Chatham",112,8201,2456,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301030","1790","Georgia","130","Effingham","1030","Effingham",0,750,1674,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301190","1790","Georgia","130","Franklin","1190","Franklin",0,156,885,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301270","1790","Georgia","130","Glynn","1270","Glynn",5,215,193,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301330","1790","Georgia","130","Greene","1330","Greene",8,1377,4020,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301790","1790","Georgia","130","Liberty","1790","Liberty",27,4025,1303,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","1790","Georgia","130","Richmond","2450","Richmond",39,4116,7162,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303030","1790","Georgia","130","Washington","3030","Washington",2,694,3856,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303170","1790","Georgia","130","Wilkes","3170","Wilkes",180,7268,24052,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400010","1790","Maryland","240","Allegany","0010","Allegany",12,258,4539,,,,,,,,,,,,,,,258,,,,,,,,,,,
"G2400030","1790","Maryland","240","Anne Arundel","0030","Anne Arundel",804,10130,11664,1096,1026,1084,12,962,64,5672,4910,5.2,5.1,511.0,6.0,453.0,30.0,10130,9.2,146,216,221,158,86,13,4,0,1,251
"G2400050","1790","Maryland","240","Baltimore","0050","Baltimore",604,5877,18953,1029,2468,1029,0,2400,68,6553,13595,6.4,5.7,294.0,0,686.0,19.0,5877,5.7,304,305,232,126,39,3,1,0,0,19
"G2400090","1790","Maryland","240","Calvert","0090","Calvert",136,4305,4211,,,,,,,,,,,,,,,4305,,,,,,,,,,,
"G2400110","1790","Maryland","240","Caroline","0110","Caroline",421,2057,7028,418,934,417,1,861,73,2424,4613,5.8,5.4,308.0,1.0,637.0,54.0,2057,4.9,126,149,87,43,12,1,0,0,0,0
"G2400150","1790","Maryland","240","Cecil","0150","Cecil",163,3407,10055,539,1367,538,1,1175,192,3337,6449,6.2,5.5,282.0,1.0,616.0,101.0,3407,6.3,146,172,132,57,29,3,0,0,0,0
"G2400170","1790","Maryland","240","Charles","0170","Charles",404,10085,10124,1221,808,1218,3,680,128,6636,3505,5.4,5.2,600.0,1.0,335.0,63.0,10085,8.3,247,317,295,243,107,11,1,0,0,0
"G2400190","1790","Maryland","240","Dorchester","0190","Dorchester",528,5337,10010,296,358,293,3,334,24,1688,1559,5.8,4.7,448.0,5.0,511.0,37.0,5337,18.0,72,99,58,43,24,0,0,0,0,0
"G2400210","1790","Maryland","240","Frederick","0210","Frederick",213,3641,26937,678,3699,677,1,3681,18,4572,22331,6.8,6.1,155.0,0,841.0,4.0,3641,5.4,214,234,129,73,26,1,1,0,0,0
"G2400250","1790","Maryland","240","Harford","0250","Harford",775,3417,10784,586,1453,586,0,1312,141,3645,7139,6.2,5.4,287.0,0,643.0,69.0,3417,5.8,148,194,150,71,20,3,0,0,0,0
"G2400290","1790","Maryland","240","Kent","0290","Kent",655,5433,6748,781,518,747,34,432,86,4149,2156,5.6,5.0,575.0,26.0,333.0,66.0,5433,7.0,142,219,192,125,38,1,0,0,0,64
"G2400310","1790","Maryland","240","Montgomery","0310","Montgomery",294,6030,11679,933,1144,933,0,1111,33,5384,6194,5.8,5.6,449.0,0,535.0,16.0,6030,6.5,203,257,277,159,35,2,0,0,0,0
"G2400330","1790","Maryland","240","Prince Georges","0330","Prince Georges",164,11176,10004,978,842,977,1,833,9,5364,4608,5.5,5.5,537.0,1.0,458.0,5.0,11176,11.4,156,265,208,197,122,24,4,2,0,0
"G2400350","1790","Maryland","240","Queen Anne's","0350","Queen Anne's",618,6674,8171,828,751,819,9,651,100,4875,3269,6.0,5.0,524.0,6.0,412.0,63.0,6674,8.1,180,230,209,140,58,9,2,0,0,0
"G2400370","1790","Maryland","240","St Mary's","0370","St Mary's",343,6985,8216,892,635,890,2,597,38,4939,3246,5.5,5.4,583.0,1.0,391.0,25.0,6985,7.8,199,265,204,149,61,12,1,1,0,0
"G2400390","1790","Maryland","240","Somerset","0390","Somerset",268,7070,8272,,,,,,,,,,,,,,,7070,,,,,,,,,,,
"G2400410","1790","Maryland","240","Talbot","0410","Talbot",1076,4777,7231,651,774,635,16,626,148,3887,3303,6.1,5.3,446.0,11.0,439.0,104.0,4777,7.3,181,195,136,97,29,9,2,0,0,2
"G2400430","1790","Maryland","240","Washington","0430","Washington",64,1286,14472,269,2176,269,0,2165,11,1784,12031,6.6,5.6,110.0,0,885.0,4.0,1286,4.8,90,98,55,20,4,2,0,0,0,0
"G2400470","1790","Maryland","240","Worcester","0470","Worcester",178,3836,7626,642,777,642,0,757,20,3658,3965,5.7,5.2,452.0,0,533.0,14.0,3836,6.0,133,224,171,90,22,2,0,0,0,0
"G2405100","1790","Maryland","240","Baltimore City","5100","Baltimore City",323,1255,11925,389,1338,388,1,1293,45,2601,6704,6.7,5.2,225.0,1.0,749.0,26.0,1255,3.2,154,178,51,5,1,0,0,0,0,0
"G2500010","1790","Massachusetts","250","Barnstable","0010","Barnstable",372,0,16970,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500030","1790","Massachusetts","250","Berkshire","0030","Berkshire",323,0,29940,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500050","1790","Massachusetts","250","Bristol","0050","Bristol",730,0,30966,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500055","1790","Massachusetts","250","Cumberland","0055","Cumberland",179,0,25351,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500070","1790","Massachusetts","250","Dukes","0070","Dukes",25,0,3230,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500090","1790","Massachusetts","250","Essex","0090","Essex",872,0,57007,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500150","1790","Massachusetts","250","Hampshire","0150","Hampshire",451,0,59205,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500153","1790","Massachusetts","250","Hancock","0153","Hancock",38,0,9504,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500157","1790","Massachusetts","250","Lincoln","0157","Lincoln",141,0,29592,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500170","1790","Massachusetts","250","Middlesex","0170","Middlesex",592,0,42177,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500190","1790","Massachusetts","250","Nantucket","0190","Nantucket",34,0,4521,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500230","1790","Massachusetts","250","Plymouth","0230","Plymouth",499,0,29013,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500250","1790","Massachusetts","250","Suffolk","0250","Suffolk",1062,0,43803,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500255","1790","Massachusetts","250","Washington","0255","Washington",20,0,2740,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500270","1790","Massachusetts","250","Worcester","0270","Worcester",409,0,56355,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2500275","1790","Massachusetts","250","York","0275","York",158,0,28920,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2509993","1790","Massachusetts","250","Massachusetts (ME part) [multi-county reporting area ]","9993","Massachusetts [ME part] - multi-county group",536,0,96107,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2509997","1790","Massachusetts","250","Massachusetts (non-ME part) [multi-county reporting area]","9997","Massachusetts [non-ME part] - multi-county group",5369,0,373187,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3300050","1790","New Hampshire","330","Cheshire","0050","Cheshire",70,18,28665,16,4780,16,0,4766,14,107,28569,6.7,6.0,3.0,0,994.0,3.0,18,1.1,14,2,0,0,0,0,0,0,0,0
"G3300090","1790","New Hampshire","330","Grafton","0090","Grafton",28,21,13419,13,2450,13,0,2446,4,107,13315,8.2,5.4,5.0,0,993.0,2.0,21,1.6,9,4,0,0,0,0,0,0,0,0
"G3300110","1790","New Hampshire","330","Hillsborough","0110","Hillsborough",176,0,32707,0,5330,0,0,5317,13,0,32706,0,6.2,0,0,998.0,2.0,0,0,,,,,,,,,,
"G3300150","1790","New Hampshire","330","Rockingham","0150","Rockingham",292,97,42795,76,7322,76,0,7275,47,438,42419,5.8,5.8,10.0,0,983.0,6.0,97,1.3,61,15,0,0,0,0,0,0,0,0
"G3300170","1790","New Hampshire","330","Strafford","0170","Strafford",64,21,23526,18,4060,18,0,4055,5,108,23419,6.0,5.8,4.0,0,994.0,1.0,21,1.2,13,3,2,0,0,0,0,0,0,0
"G3400030","1790","New Jersey","340","Bergen","0030","Bergen",192,2301,10108,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400050","1790","New Jersey","340","Burlington","0050","Burlington",598,227,17270,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400090","1790","New Jersey","340","Cape May","0090","Cape May",14,141,2416,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400110","1790","New Jersey","340","Cumberland","0110","Cumberland",138,120,7990,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400130","1790","New Jersey","340","Essex","0130","Essex",160,1171,16454,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400150","1790","New Jersey","340","Gloucester","0150","Gloucester",342,191,12830,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400190","1790","New Jersey","340","Hunterdon","0190","Hunterdon",191,1301,18661,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400230","1790","New Jersey","340","Middlesex","0230","Middlesex",140,1318,14498,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400250","1790","New Jersey","340","Monmouth","0250","Monmouth",353,1596,14969,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400270","1790","New Jersey","340","Morris","0270","Morris",48,636,15532,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400330","1790","New Jersey","340","Salem","0330","Salem",374,172,9891,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400350","1790","New Jersey","340","Somerset","0350","Somerset",147,1810,10339,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400370","1790","New Jersey","340","Sussex","0370","Sussex",65,439,18996,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600010","1790","New York","360","Albany","0010","Albany",171,3722,72087,1474,10843,1467,7,10830,13,8881,63051,6.1,5.8,119.0,1.0,879.0,1.0,3722,2.5,422,428,197,23,0,0,0,0,0,404
"G3600190","1790","New York","360","Clinton","0190","Clinton",16,16,1583,6,368,6,0,368,0,39,1531,6.5,4.2,16.0,0,984.0,0,16,2.7,4,1,1,0,0,0,0,0,0,0
"G3600210","1790","New York","360","Columbia","0210","Columbia",52,1633,25811,528,3748,528,0,3736,12,3076,22453,5.8,6.0,123.0,0,874.0,3.0,1633,3.1,218,202,84,23,1,0,0,0,0,0
"G3600270","1790","New York","360","Dutchess","0270","Dutchess",431,1864,42981,670,6047,670,0,5990,57,4740,38234,7.1,6.4,100.0,0,892.0,8.0,1864,2.8,281,265,110,14,0,0,0,0,0,0
"G3600470","1790","New York","360","Kings","0470","Kings",46,1482,3021,333,213,332,1,211,2,1896,1128,5.7,5.3,608.0,2.0,386.0,4.0,1482,4.5,67,129,112,25,0,0,0,0,0,0
"G3600570","1790","New York","360","Montgomery","0570","Montgomery",41,588,28223,300,4606,299,1,4603,3,1754,26300,5.9,5.7,61.0,0,938.0,1.0,588,2.0,114,79,16,1,0,0,0,0,0,90
"G3600610","1790","New York","360","New York","0610","New York",1119,2373,29619,1115,4922,1115,0,4753,169,6673,22277,6.0,4.7,185.0,0,787.0,28.0,2373,2.1,553,479,78,5,0,0,0,0,0,0
"G3600690","1790","New York","360","Ontario","0690","Ontario",6,10,1058,4,200,4,0,200,0,4,1036,1.0,5.2,20.0,0,980.0,0,10,2.5,3,0,1,0,0,0,0,0,0,0
"G3600710","1790","New York","360","Orange","0710","Orange",201,961,17315,415,2475,415,0,2453,22,2627,14688,6.3,6.0,144.0,0,849.0,8.0,961,2.3,195,177,37,6,0,0,0,0,0,0
"G3600810","1790","New York","360","Queens","0810","Queens",819,2308,12886,775,1773,775,0,1468,305,4698,8143,6.1,5.5,304.0,0,576.0,120.0,2308,3.0,312,289,156,18,0,0,0,0,0,0
"G3600850","1790","New York","360","Richmond","0850","Richmond",127,755,2945,238,328,238,0,324,4,1290,1695,5.4,5.2,420.0,0,572.0,7.0,755,3.2,81,86,68,3,0,0,0,0,0,0
"G3601030","1790","New York","360","Suffolk","1030","Suffolk",1131,1105,14310,496,2362,496,0,2310,52,2632,11577,5.3,5.0,174.0,0,808.0,18.0,1105,2.2,272,168,49,7,0,0,0,0,0,0
"G3601110","1790","New York","360","Ulster","1110","Ulster",161,2914,26295,878,3476,878,0,3464,12,5535,20761,6.3,6.0,202.0,0,796.0,3.0,2914,3.3,302,357,177,42,0,0,0,0,0,0
"G3601150","1790","New York","360","Washington","1150","Washington",3,46,14028,24,2464,24,0,2464,0,209,13819,8.7,5.6,10.0,0,990.0,0,46,1.9,14,8,2,0,0,0,0,0,0,0
"G3601190","1790","New York","360","Westchester","1190","Westchester",358,1416,22204,540,3257,540,0,3224,33,3441,18737,6.4,5.8,142.0,0,849.0,9.0,1416,2.6,250,199,77,14,0,0,0,0,0,0
"G3700070","1790","North Carolina","370","Anson","0070","Anson",41,829,4365,174,615,174,0,608,7,1066,3196,6.1,5.3,221.0,0,771.0,9.0,829,4.8,55,49,51,16,3,0,0,0,0,0
"G3700130","1790","North Carolina","370","Beaufort","0130","Beaufort",128,1622,3655,290,490,289,1,469,21,1470,2187,5.1,4.7,370.0,1.0,601.0,27.0,1622,5.6,79,105,65,29,9,3,0,0,0,0
"G3700150","1790","North Carolina","370","Bertie","0150","Bertie",378,5121,6963,607,808,606,1,782,26,3447,3486,5.7,4.5,428.0,1.0,553.0,18.0,5121,8.4,109,185,163,98,49,3,0,0,0,0
"G3700170","1790","North Carolina","370","Bladen","0170","Bladen",58,1686,3356,237,397,237,0,388,9,1291,2065,5.4,5.3,374.0,0,612.0,14.0,1686,7.1,50,81,48,37,19,2,0,0,0,0
"G3700190","1790","North Carolina","370","Brunswick","0190","Brunswick",3,1511,1556,116,202,116,0,202,0,592,975,5.1,4.8,365.0,0,635.0,0,1511,13.0,21,33,21,20,17,3,0,1,0,0
"G3700230","1790","North Carolina","370","Burke","0230","Burke",9,600,7497,173,1080,173,0,1080,0,1162,6332,6.7,5.9,138.0,0,862.0,0,600,3.5,67,63,31,10,2,0,0,0,0,0
"G3700290","1790","North Carolina","370","Camden","0290","Camden",30,1038,2954,201,382,201,0,377,5,1128,1889,5.6,5.0,345.0,0,647.0,9.0,1038,5.2,53,69,46,28,5,0,0,0,0,0
"G3700310","1790","North Carolina","370","Carteret","0310","Carteret",93,709,2932,155,424,155,0,404,20,870,2062,5.6,5.1,268.0,0,698.0,35.0,709,4.6,49,62,25,14,5,0,0,0,0,0
"G3700330","1790","North Carolina","370","Caswell","0330","Caswell",72,2736,7288,,,,,,,,,,,,,,,2736,,,,,,,,,,,
"G3700370","1790","North Carolina","370","Chatham","0370","Chatham",10,1558,7593,314,956,314,0,956,0,1959,5634,6.2,5.9,247.0,0,753.0,0,1558,5.0,91,106,75,35,6,1,0,0,0,0
"G3700410","1790","North Carolina","370","Chowan","0410","Chowan",41,2587,2360,313,239,313,,229,10,1433,890,,,,0,,,2587,,68,107,67,41,21,4,1,1,0,3
"G3700490","1790","North Carolina","370","Craven","0490","Craven",337,3663,6474,576,864,572,4,806,58,2836,3638,5.0,4.5,398.0,3.0,560.0,40.0,3663,6.4,161,188,120,73,26,6,1,0,0,1
"G3700510","1790","North Carolina","370","Cumberland","0510","Cumberland",83,2180,6467,423,923,423,0,911,12,2301,4166,,,,,,,2180,,127,144,92,47,12,1,0,0,0,0
"G3700530","1790","North Carolina","370","Currituck","0530","Currituck",115,1103,4002,257,536,256,1,516,20,1479,2653,5.8,5.1,323.0,1.0,651.0,25.0,1103,4.3,74,89,71,18,5,0,0,0,0,0
"G3700595","1790","North Carolina","370","Dobbs","0595","Dobbs",46,2012,4936,336,577,336,0,574,3,1895,3001,5.6,5.2,369.0,0,629.0,3.0,2012,6.0,82,117,86,35,14,2,0,0,0,0
"G3700610","1790","North Carolina","370","Duplin","0610","Duplin",3,1386,4274,255,468,255,0,468,0,1631,2646,6.4,5.7,353.0,0,647.0,0,1386,5.4,71,84,61,29,10,0,0,0,0,0
"G3700650","1790","North Carolina","370","Edgecombe","0650","Edgecombe",70,3167,7028,491,768,491,0,757,11,2900,4128,5.9,5.5,390.0,0,601.0,9.0,3167,6.5,84,186,117,78,25,1,0,0,0,0
"G3700690","1790","North Carolina","370","Franklin","0690","Franklin",37,2701,4764,388,414,388,0,409,5,2430,2334,6.3,5.7,484.0,0,510.0,6.0,2701,7.0,79,116,113,51,27,2,0,0,0,0
"G3700730","1790","North Carolina","370","Gates","0730","Gates",93,2217,3076,344,282,344,0,268,14,1887,1193,5.5,4.5,550.0,0,428.0,22.0,2217,6.4,91,98,82,52,21,0,0,0,0,0
"G3700770","1790","North Carolina","370","Granville","0770","Granville",315,4163,6504,,,,,,,,,,,,,,,4163,,,,,,,,,,,
"G3700810","1790","North Carolina","370","Guilford","0810","Guilford",27,616,6657,179,916,179,0,913,3,1175,5480,6.6,6.0,163.0,0,834.0,3.0,616,3.4,69,64,33,12,1,0,0,0,0,0
"G3700830","1790","North Carolina","370","Halifax","0830","Halifax",443,6697,7170,734,683,731,3,630,53,4259,2912,5.8,4.6,516.0,2.0,445.0,37.0,6697,9.1,165,178,184,124,66,16,1,0,0,0
"G3700910","1790","North Carolina","370","Hertford","0910","Hertford",232,2448,3269,359,290,359,0,259,31,1910,1259,5.3,4.9,553.0,0,399.0,48.0,2448,6.8,76,120,78,61,24,0,0,0,0,0
"G3700950","1790","North Carolina","370","Hyde","0950","Hyde",37,1143,3024,247,378,247,0,372,6,1306,1718,5.3,4.6,395.0,0,595.0,10.0,1143,4.6,70,84,67,19,6,0,0,0,0,1
"G3700970","1790","North Carolina","370","Iredell","0970","Iredell",3,868,4559,232,536,232,0,536,0,1478,3081,6.4,5.7,302.0,0,698.0,0,868,3.7,80,81,57,11,3,0,0,0,0,0
"G3701010","1790","North Carolina","370","Johnston","1010","Johnston",65,1328,4298,249,527,249,0,522,5,1460,2815,5.9,5.4,321.0,0,673.0,6.0,1328,5.3,76,77,50,36,9,1,0,0,0,0
"G3701030","1790","North Carolina","370","Jones","1030","Jones",70,1655,3071,217,366,217,0,358,8,1279,1792,5.9,5.0,372.0,0,614.0,14.0,1655,7.6,56,61,44,32,20,2,0,0,0,2
"G3701090","1790","North Carolina","370","Lincoln","1090","Lincoln",0,855,8391,283,1126,283,0,1126,0,1847,6547,6.5,5.8,201.0,0,799.0,0,855,3.0,117,94,54,17,1,0,0,0,0,0
"G3701170","1790","North Carolina","370","Martin","1170","Martin",96,1829,4085,277,517,277,0,503,14,1607,2376,5.8,4.7,349.0,0,634.0,18.0,1829,6.6,84,86,66,27,12,1,1,0,0,0
"G3701190","1790","North Carolina","370","Mecklenburg","1190","Mecklenburg",67,1608,9685,423,1319,423,0,1253,66,2591,7100,6.1,5.7,243.0,0,719.0,38.0,1608,3.8,145,167,83,24,3,1,0,0,0,0
"G3701230","1790","North Carolina","370","Montgomery","1230","Montgomery",11,837,4191,180,521,180,0,518,3,1234,2958,6.9,5.7,257.0,0,739.0,4.0,837,4.7,54,64,39,19,4,0,0,0,0,0
"G3701250","1790","North Carolina","370","Moore","1250","Moore",12,371,3487,88,551,88,0,550,1,525,2961,6.0,5.4,138.0,0,861.0,2.0,371,4.2,28,31,19,8,2,0,0,0,0,0
"G3701270","1790","North Carolina","370","Nash","1270","Nash",193,2008,5189,328,524,328,0,510,14,2093,3096,5.4,6.1,385.0,0,599.0,16.0,2008,6.1,77,117,77,42,14,1,0,0,0,0
"G3701290","1790","North Carolina","370","New Hanover","1290","New Hanover",68,3737,3032,341,285,337,4,276,9,1685,1348,5.0,4.9,538.0,6.0,441.0,14.0,3737,11.0,66,103,69,53,35,14,1,0,0,0
"G3701310","1790","North Carolina","370","Northampton","1310","Northampton",458,4414,5120,583,526,576,7,464,62,2979,2141,5.2,4.6,519.0,6.0,418.0,56.0,4414,7.6,125,189,133,85,46,4,1,0,0,0
"G3701330","1790","North Carolina","370","Onslow","1330","Onslow",84,1747,3596,278,443,276,2,431,12,1453,2138,5.3,5.0,383.0,3.0,598.0,17.0,1747,6.3,60,89,83,31,14,1,0,0,0,0
"G3701350","1790","North Carolina","370","Orange","1350","Orange",101,2060,10055,,,,,,,,,,,,,,,2060,,,,,,,,,,,
"G3701390","1790","North Carolina","370","Pasquotank","1390","Pasquotank",87,1600,3790,299,499,299,0,481,18,1622,2165,5.4,4.5,375.0,0,603.0,23.0,1600,5.4,86,100,64,40,7,2,0,0,0,0
"G3701430","1790","North Carolina","370","Perquimans","1430","Perquimans",37,1883,3519,322,386,322,0,381,5,1787,1733,5.5,4.5,455.0,0,538.0,7.0,1883,5.8,88,110,67,41,15,1,0,0,0,0
"G3701470","1790","North Carolina","370","Pitt","1470","Pitt",25,2364,5881,401,694,401,0,693,1,2316,3565,5.8,3.1,366.0,0,633.0,1.0,2364,5.9,99,134,91,59,16,2,0,0,0,0
"G3701510","1790","North Carolina","370","Randolph","1510","Randolph",24,460,6834,137,1024,137,0,1023,1,911,5925,6.6,5.8,118.0,0,881.0,1.0,460,3.4,60,48,21,6,2,0,0,0,0,0
